"","con","subsize","sampling","ratio"
"1",0.0501933422870934,"36","random",0.761904761904762
"2",0.0501933422870934,"36","TroLev",1.26984126984127
"3",0.0502459233626723,"36","random",1.22222222222222
"4",0.0502459233626723,"36","TroLev",1.44444444444444
"5",0.0502578355139121,"36","random",1.6
"6",0.0502578355139121,"36","TroLev",1.17333333333333
"7",0.0504872660152614,"36","random",0.888888888888889
"8",0.0504872660152614,"36","TroLev",1.06666666666667
"9",0.0508017660584301,"36","random",1.55555555555556
"10",0.0508017660584301,"36","TroLev",1.18518518518519
"11",0.0508033501682803,"36","random",1.54838709677419
"12",0.0508033501682803,"36","TroLev",0.946236559139785
"13",0.0509093975182623,"36","random",1.15942028985507
"14",0.0509093975182623,"36","TroLev",0.927536231884058
"15",0.051035591121763,"36","random",1.23076923076923
"16",0.051035591121763,"36","TroLev",1.02564102564103
"17",0.0513219421496615,"36","random",1.02127659574468
"18",0.0513219421496615,"36","TroLev",1.02127659574468
"19",0.0515168035170063,"36","random",1.24444444444444
"20",0.0515168035170063,"36","TroLev",1.33333333333333
"21",0.0515853720251471,"36","random",1.26315789473684
"22",0.0515853720251471,"36","TroLev",1.40350877192982
"23",0.0516688334289938,"36","random",0.914285714285714
"24",0.0516688334289938,"36","TroLev",1.37142857142857
"25",0.0518359131878242,"36","random",0.941176470588235
"26",0.0518359131878242,"36","TroLev",1.56862745098039
"27",0.0518756318837404,"36","random",1.17647058823529
"28",0.0518756318837404,"36","TroLev",1.01960784313725
"29",0.0519025817280635,"36","random",0.96969696969697
"30",0.0519025817280635,"36","TroLev",1.21212121212121
"31",0.0523074780823663,"36","random",1.13131313131313
"32",0.0523074780823663,"36","TroLev",1.21212121212121
"33",0.0524656245484948,"36","random",1.23809523809524
"34",0.0524656245484948,"36","TroLev",1.42857142857143
"35",0.0527878788998351,"36","random",1.26315789473684
"36",0.0527878788998351,"36","TroLev",1.26315789473684
"37",0.0531349700177088,"36","random",0.888888888888889
"38",0.0531349700177088,"36","TroLev",1.26984126984127
"39",0.0531967869726941,"36","random",1.27536231884058
"40",0.0531967869726941,"36","TroLev",1.50724637681159
"41",0.0536927780602127,"36","random",0.888888888888889
"42",0.0536927780602127,"36","TroLev",0.888888888888889
"43",0.0539536075200886,"36","random",0.888888888888889
"44",0.0539536075200886,"36","TroLev",1.06666666666667
"45",0.0539947507204488,"36","random",1.09090909090909
"46",0.0539947507204488,"36","TroLev",1.45454545454545
"47",0.0541879625990987,"36","random",1.28395061728395
"48",0.0541879625990987,"36","TroLev",1.38271604938272
"49",0.0541952121071518,"36","random",1.68421052631579
"50",0.0541952121071518,"36","TroLev",1.26315789473684
"51",0.054383042245172,"36","random",1.23076923076923
"52",0.054383042245172,"36","TroLev",1.23076923076923
"53",0.0544484375044703,"36","random",1.17333333333333
"54",0.0544484375044703,"36","TroLev",1.38666666666667
"55",0.0545285245636478,"36","random",1.12280701754386
"56",0.0545285245636478,"36","TroLev",1.54385964912281
"57",0.0547554042423144,"36","random",0.990476190476191
"58",0.0547554042423144,"36","TroLev",1.37142857142857
"59",0.0549137157620862,"36","random",1.29292929292929
"60",0.0549137157620862,"36","TroLev",1.13131313131313
"61",0.0554955866420642,"36","random",1.03703703703704
"62",0.0554955866420642,"36","TroLev",1.03703703703704
"63",0.055833550915122,"36","random",0.82051282051282
"64",0.055833550915122,"36","TroLev",1.84615384615385
"65",0.0558986472897232,"36","random",1.19540229885057
"66",0.0558986472897232,"36","TroLev",0.827586206896552
"67",0.056053026439622,"36","random",1.11111111111111
"68",0.056053026439622,"36","TroLev",0.444444444444444
"69",0.0561755383620039,"36","random",1.46666666666667
"70",0.0561755383620039,"36","TroLev",0.933333333333333
"71",0.0562278754543513,"36","random",1.12820512820513
"72",0.0562278754543513,"36","TroLev",1.12820512820513
"73",0.0564154426800087,"36","random",1.01587301587302
"74",0.0564154426800087,"36","TroLev",1.3968253968254
"75",0.0564349144697189,"36","random",1.33333333333333
"76",0.0564349144697189,"36","TroLev",1.33333333333333
"77",0.0568944406462833,"36","random",1.06666666666667
"78",0.0568944406462833,"36","TroLev",0.933333333333333
"79",0.057124172965996,"36","random",0.952380952380952
"80",0.057124172965996,"36","TroLev",1.33333333333333
"81",0.0573500747559592,"36","random",1.28735632183908
"82",0.0573500747559592,"36","TroLev",1.01149425287356
"83",0.0576396466698498,"36","random",1
"84",0.0576396466698498,"36","TroLev",1.5
"85",0.0578100979095325,"36","random",0.711111111111111
"86",0.0578100979095325,"36","TroLev",1.77777777777778
"87",0.0578110287897289,"36","random",0.888888888888889
"88",0.0578110287897289,"36","TroLev",0.888888888888889
"89",0.0579311166657135,"36","random",1.24444444444444
"90",0.0579311166657135,"36","TroLev",0.888888888888889
"91",0.0586349244695157,"36","random",0.857142857142857
"92",0.0586349244695157,"36","TroLev",1.42857142857143
"93",0.0587100099772215,"36","random",1.03703703703704
"94",0.0587100099772215,"36","TroLev",1.03703703703704
"95",0.0587574511999264,"36","random",0.888888888888889
"96",0.0587574511999264,"36","TroLev",1.18518518518519
"97",0.0587820764631033,"36","random",1.15555555555556
"98",0.0587820764631033,"36","TroLev",1.11111111111111
"99",0.0589905422879383,"36","random",0.96969696969697
"100",0.0589905422879383,"36","TroLev",1.45454545454545
"101",0.0590264236787334,"36","random",1.2952380952381
"102",0.0590264236787334,"36","TroLev",1.2952380952381
"103",0.0592103049624711,"36","random",1.23076923076923
"104",0.0592103049624711,"36","TroLev",1.23076923076923
"105",0.0592275051865727,"36","random",1.14285714285714
