"","con","subsize","ext_ratio","ext_ratioTL","shan_rand","shan_TL"
"4070",0.0616637545172125,"28",0.753968253968254,0.942460317460317,1.40106257427953,1.3749092539328
"4071",0.0617787568131462,"28",1.42281105990783,0.875576036866359,1.28821196602355,1.31732667152568
"4072",0.0619776076870039,"28",1.23376623376623,0.771103896103896,1.18268388783408,0.999851123871341
"4073",0.062143378611654,"28",0.598739495798319,1.19747899159664,1.18509035339531,0.952399517077814
"4074",0.0621784585528076,"28",1.62267080745342,1.18012422360248,1.03208137026472,1.03897558283143
"4075",0.0623310956638306,"28",1.27232142857143,1.41369047619048,0.426623359019775,0.869538478704757
"4076",0.0627852532314137,"28",0.969387755102041,0.969387755102041,0.356283787677324,1.06497114593297
"4077",0.0628106152638793,"28",1.28694581280788,1.16995073891626,0.387767176543112,0.762196670550861
"4078",0.0628763744374737,"28",0.598739495798319,1.59663865546218,0.965619518651748,0.774890239573717
"4079",0.0630621575051919,"28",1.19747899159664,1.79621848739496,0.424412423349731,0.905425405706435
"4080",0.063069957215339,"28",1.01063829787234,0.794072948328267,0.200023370296247,1.01796459134571
"4081",0.0631486299680546,"28",1.42857142857143,0.714285714285714,1.01614421945017,0.964348019706584
"4082",0.0631884960457683,"28",0.339285714285714,0,1.35506645308542,1.2404484853
"4083",0.063713102042675,"28",1.06026785714286,1.90848214285714,0.532204110101159,1.23610387012097
"4084",0.0638192373327911,"28",1.88492063492063,1.13095238095238,0.852421505232946,0.680316869855198
"4085",0.0638598650461063,"28",0.848214285714286,0.678571428571429,0.747703982853041,0.716912142089036
"4086",0.0638707282720134,"28",1.13095238095238,1.97916666666667,0.846270300733943,1.24176074180256
"4087",0.0638772181700915,"28",1.42857142857143,1.42857142857143,0.844815965164088,0.328389704052835
"4088",0.0644849774660543,"28",1.42281105990783,0.985023041474654,1.49521317983072,1.09252255253583
"4089",0.0646832198835909,"28",1.35714285714286,1.52678571428571,1.14509753473663,1.26934470336174
"4090",0.06468735341914,"28",1.19747899159664,1.19747899159664,1.06265579526653,1.14700088793513
"4091",0.064936345606111,"28",0.985023041474654,1.42281105990783,1.60860563169044,0.79680025531715
