"","con","subsize","ext_ratio","ext_ratioTL"
"15419",0.265578869986348,"8",1,1
"15420",0.265826505492441,"8",1.5,1.125
"15421",0.266002972703427,"8",1.5,1
"15422",0.26609683597926,"8",0.857142857142857,1.71428571428571
"15423",0.266369506972842,"8",1.18518518518519,1.18518518518519
"15424",0.266754722059704,"8",0.631578947368421,1.26315789473684
"15425",0.266765827382915,"8",1.5,1.5
"15426",0.266788530326448,"8",1.13207547169811,1.58490566037736
"15427",0.266801022924483,"8",0.666666666666667,2
"15428",0.266956056281924,"8",0.888888888888889,1.77777777777778
"15429",0.267070079990663,"8",1.15384615384615,1.61538461538462
"15430",0.267108654347248,"8",2.06896551724138,1.24137931034483
"15431",0.267188200075179,"8",0.923076923076923,1.07692307692308
"15432",0.267372994846664,"8",1.6,0.8
"15433",0.267411127826199,"8",0.765957446808511,1.53191489361702
"15434",0.267521564709023,"8",1.81818181818182,1.45454545454545
"15435",0.267556739714928,"8",1.44,1.2
"15436",0.267995993001387,"8",1.24675324675325,0.935064935064935
"15437",0.26819416298531,"8",1.2,0.9
"15438",0.268297105678357,"8",1.05882352941176,1.41176470588235
"15439",0.268585402634926,"8",0,0
"15440",0.269521789741702,"8",1.01408450704225,1.1830985915493
"15441",0.270159349148162,"8",0.727272727272727,0.727272727272727
"15442",0.270245052850805,"8",2,4
"15443",0.270250871079043,"8",1,1
"15444",0.270481594209559,"8",0,1.33333333333333
"15445",0.270574024459347,"8",1.03448275862069,1.24137931034483
"15446",0.270718273101375,"8",0.73469387755102,0.979591836734694
"15447",0.270819815038703,"8",1.81818181818182,1.45454545454545
"15448",0.271113824052736,"8",1.24137931034483,0.827586206896552
"15449",0.271239808457904,"8",1.8,1.8
"15450",0.271473439689726,"8",1.45454545454545,0.727272727272727
"15451",0.271500419429503,"8",1.2972972972973,0.972972972972973
"15452",0.271523072081618,"8",1.2,1.4
"15453",0.27157212884631,"8",0.692307692307692,1.38461538461538
"15454",0.271702314680442,"8",1.22448979591837,0.73469387755102
"15455",0.271727024880238,"8",0.923076923076923,0.461538461538462
"15456",0.271799677610397,"8",0,0
