"","con","subsize","n_consumers","sampling","ratio"
"1",0.0501933422870934,"24",95,"random",0.952380952380952
"2",0.0501933422870934,"24",95,"TroLev",0.380952380952381
"3",0.0501933422870934,"24",95,"lowest BM",0
"4",0.0501933422870934,"24",95,"highest BM",1.69642857142857
"5",0.0502459233626723,"24",95,"random",1.66666666666667
"6",0.0502459233626723,"24",95,"TroLev",1.33333333333333
"7",0.0502459233626723,"24",95,"lowest BM",0.659722222222222
"8",0.0502459233626723,"24",95,"highest BM",1.81423611111111
"9",0.0502578355139121,"24",95,"random",0.8
"10",0.0502578355139121,"24",95,"TroLev",0.8
"11",0.0502578355139121,"24",95,"lowest BM",0.316666666666667
"12",0.0502578355139121,"24",95,"highest BM",2.05833333333333
"13",0.0504872660152614,"24",95,"random",1.2
"14",0.0504872660152614,"24",95,"TroLev",1.46666666666667
"15",0.0504872660152614,"24",95,"lowest BM",0.263888888888889
"16",0.0504872660152614,"24",95,"highest BM",1.84722222222222
"17",0.0508017660584301,"24",95,"random",1.22222222222222
"18",0.0508017660584301,"24",95,"TroLev",0.777777777777778
"19",0.0508017660584301,"24",95,"lowest BM",0.549768518518518
"20",0.0508017660584301,"24",95,"highest BM",1.31944444444444
"21",0.0508033501682803,"24",95,"random",0.774193548387097
"22",0.0508033501682803,"24",95,"TroLev",1.03225806451613
"23",0.0508033501682803,"24",95,"lowest BM",1.02150537634409
"24",0.0508033501682803,"24",95,"highest BM",1.65994623655914
"25",0.0509093975182623,"24",95,"random",0.869565217391304
"26",0.0509093975182623,"24",95,"TroLev",1.56521739130435
"27",0.0509093975182623,"24",95,"lowest BM",0.688405797101449
"28",0.0509093975182623,"24",95,"highest BM",1.3768115942029
"29",0.051035591121763,"24",95,"random",1.53846153846154
"30",0.051035591121763,"24",95,"TroLev",1.23076923076923
"31",0.051035591121763,"24",95,"lowest BM",0
"32",0.051035591121763,"24",95,"highest BM",1.82692307692308
"33",0.0513219421496615,"24",95,"random",1.19148936170213
"34",0.0513219421496615,"24",95,"TroLev",1.19148936170213
"35",0.0513219421496615,"24",95,"lowest BM",0.589539007092199
"36",0.0513219421496615,"24",95,"highest BM",1.60017730496454
"37",0.0515168035170063,"24",95,"random",1.2
"38",0.0515168035170063,"24",95,"TroLev",1.2
"39",0.0515168035170063,"24",95,"lowest BM",0.923611111111111
"40",0.0515168035170063,"24",95,"highest BM",1.84722222222222
"41",0.0515853720251471,"24",95,"random",0.842105263157895
"42",0.0515853720251471,"24",95,"TroLev",1.26315789473684
"43",0.0515853720251471,"24",95,"lowest BM",0.625
"44",0.0515853720251471,"24",95,"highest BM",1.875
"45",0.0516688334289938,"24",95,"random",1.14285714285714
"46",0.0516688334289938,"24",95,"TroLev",1.25714285714286
"47",0.0516688334289938,"24",95,"lowest BM",0.904761904761905
"48",0.0516688334289938,"24",95,"highest BM",1.01785714285714
"49",0.0518359131878242,"24",95,"random",1.41176470588235
"50",0.0518359131878242,"24",95,"TroLev",1.17647058823529
"51",0.0518359131878242,"24",95,"lowest BM",0.232843137254902
"52",0.0518359131878242,"24",95,"highest BM",1.16421568627451
"53",0.0518756318837404,"24",95,"random",0.941176470588235
"54",0.0518756318837404,"24",95,"TroLev",1.29411764705882
"55",0.0518756318837404,"24",95,"lowest BM",0.232843137254902
"56",0.0518756318837404,"24",95,"highest BM",2.09558823529412
"57",0.0519025817280635,"24",95,"random",2.18181818181818
"58",0.0519025817280635,"24",95,"TroLev",0.727272727272727
"59",0.0519025817280635,"24",95,"lowest BM",0
"60",0.0519025817280635,"24",95,"highest BM",2.15909090909091
"61",0.0523074780823663,"24",95,"random",0.96969696969697
"62",0.0523074780823663,"24",95,"TroLev",1.09090909090909
"63",0.0523074780823663,"24",95,"lowest BM",0.599747474747475
"64",0.0523074780823663,"24",95,"highest BM",1.43939393939394
"65",0.0524656245484948,"24",95,"random",1.28571428571429
"66",0.0524656245484948,"24",95,"TroLev",1.14285714285714
"67",0.0524656245484948,"24",95,"lowest BM",0.282738095238095
"68",0.0524656245484948,"24",95,"highest BM",2.26190476190476
"69",0.0527878788998351,"24",95,"random",0.842105263157895
"70",0.0527878788998351,"24",95,"TroLev",0.842105263157895
"71",0.0527878788998351,"24",95,"lowest BM",0.208333333333333
"72",0.0527878788998351,"24",95,"highest BM",2.29166666666667
"73",0.0531349700177088,"24",95,"random",1.33333333333333
"74",0.0531349700177088,"24",95,"TroLev",1.14285714285714
"75",0.0531349700177088,"24",95,"lowest BM",0.753968253968254
"76",0.0531349700177088,"24",95,"highest BM",1.69642857142857
"77",0.0531967869726941,"24",95,"random",1.04347826086957
"78",0.0531967869726941,"24",95,"TroLev",0.695652173913043
"79",0.0531967869726941,"24",95,"lowest BM",0
"80",0.0531967869726941,"24",95,"highest BM",1.72101449275362
"81",0.0536927780602127,"24",95,"random",1.66666666666667
"82",0.0536927780602127,"24",95,"TroLev",1.66666666666667
"83",0.0536927780602127,"24",95,"lowest BM",0.329861111111111
"84",0.0536927780602127,"24",95,"highest BM",2.96875
"85",0.0539536075200886,"24",95,"random",0.8
"86",0.0539536075200886,"24",95,"TroLev",1.6
"87",0.0539536075200886,"24",95,"lowest BM",0.263888888888889
"88",0.0539536075200886,"24",95,"highest BM",1.84722222222222
"89",0.0539947507204488,"24",95,"random",1.45454545454545
"90",0.0539947507204488,"24",95,"TroLev",1.09090909090909
"91",0.0539947507204488,"24",95,"lowest BM",0.539772727272727
"92",0.0539947507204488,"24",95,"highest BM",1.97916666666667
"93",0.0541879625990987,"24",95,"random",1.48148148148148
