"","con","ext_all","n_basal","ext_big","ext_small","ext_BAS","shan_all","shan_big","shan_small","shan_BAS","rand_shan_36","rand_shan_32","rand_shan_28","rand_shan_24","rand_shan_20","rand_shan_16","rand_shan_12","rand_shan_8","rand_shan_4","rand_ext_36","rand_ext_32","rand_ext_28","rand_ext_24","rand_ext_20","rand_ext_16","rand_ext_12","rand_ext_8","rand_ext_4"
"1023",0.206120088370517,16,6,4,3,0,1.44705319586366,1.09957896934199,2.15710262268627,1.41203744795475,1.28678405389701,1.57279361394583,1.52119934430171,1.26514149644722,1.05515242096816,0.861532548622186,1.54678442898024,0.939785779354694,0.869755037073402,7,6,3,4,3,1,2,2,0
"1024",0.206176526308991,16,4,4,7,0,0.42786091745391,1.22778530888359,1.88096958048081,0.340930862395864,1.35860274912348,1.16818358245164,1.10808511445911,0.831985439651734,1.10898873934851,1.05721842214045,0.00512202028536391,0.00765355140151601,0.243187845487634,11,6,4,1,4,1,1,1,1
"1025",0.206393442838453,50,4,20,3,0,1.6112272934067,1.23931710887799,1.93365282001317,1.18241423415656,1.13902213918451,0.890853459311848,0.512023937269744,0.322351231724579,1.01748368126984,1.03661918718109,0.0424315496426491,0.0143307997844843,0.55619244425127,19,21,20,13,12,9,8,5,1
"1026",0.206497728591785,51,7,22,3,0,0.419658975665768,0.640846495647648,2.0015261351229,0.35295156050134,1.11114225363152,1.08709375112722,0.704441856156921,0.0659462413785109,0.269276848861522,0.770770874875999,1.05487918100565,0.249627132840054,0.286034083784047,19,18,20,14,13,9,6,4,1
"1027",0.206582665978931,9,5,2,4,0,1.38210195813593,2.07618701121468,2.0879672807853,1.37400611882902,1.09859015612362,1.72445898639825,1.38937646191419,1.40797286223601,1.25543551310875,0.917110432632298,0.525564199059324,1.25017468716638,0.246577540970107,4,1,5,2,1,1,0,1,0
"1028",0.206585376895964,18,7,10,1,0,1.52545977247569,1.15891825365828,2.2923731105021,1.49637599941767,1.50789417468796,1.52182316594584,1.16716186928096,1.33963457185186,0.888731238353581,0.487219841042172,0.454017659336621,0.0980378559933367,0.000186335630772814,6,6,4,6,3,4,3,1,1
"1029",0.206785436789505,53,7,20,7,0,0.896687713281905,1.26703077746742,2.18922090338416,0.873458718675506,1.19314319882389,1.51851123061436,0.683450607951067,0.863554827181665,0.855342735278474,0.45487521760398,0.763248241343046,0.00478076148931436,0.00894312829079384,19,18,17,12,11,10,4,6,2
"1030",0.207041103136726,23,7,9,4,0,1.00764670778559,1.35489267705896,1.85652922247421,0.95757949713955,0.917507270706108,0.37873814611064,1.47551503358033,1.54494868351795,0.0710716018882246,0.0437852162161496,0.364228031464217,0.451410055526263,0.0210542373488405,7,8,7,6,3,4,3,3,2
"1031",0.207338454923592,39,6,17,6,0,0.850067213759355,0.0191715032463383,2.10800549032646,0.825441401430427,1.58485653585371,1.45009286511295,0.447499808947554,0.737848388922957,1.01662136432754,0.345752352973611,0.550687743398626,0.913660551944877,0.343578579979095,17,16,13,12,10,11,5,0,2
"1032",0.207356379972771,72,4,24,5,0,1.93624505064998,0,1.58373560746657,1.35803562413149,0.608172705131824,1.03091655188806,0.830310968358318,0.38757210260625,0.540836248983304,0,0.0936088297735161,0,0,31,24,21,20,14,15,9,7,3
"1033",0.207536410191096,20,4,3,12,0,1.11730056274421,1.86147994337982,1.68082296541531,1.10390441343851,1.58926873965024,1.46780941008416,0.471173593107642,1.08024749906605,0.860944829475694,1.31474382559054,1.28768245255932,1.19336195901395,0.0943992103682467,9,6,5,7,5,2,3,3,1
"1034",0.207572128903121,17,8,12,2,0,1.57651523200186,1.10192250288576,1.90904989255774,1.52548807251855,1.69927767164665,1.4396969713028,1.29338956565799,1.12596603200964,0.48569864597961,1.18372001362855,0.565731530642383,0.691118636185203,0.742856323217853,8,5,8,1,6,3,4,1,1
"1035",0.207592505449429,27,5,10,6,0,0.781926803879387,1.05157549971543,1.93211433211652,0.746783288100978,0.671031295700564,1.12144429832846,0.784380888904789,0.804397907622545,0.604350134414553,0.598386624843927,0.498045445203485,0.634816092160798,0.106627728002567,8,13,6,6,4,5,1,2,1
"1036",0.207831885479391,12,7,5,2,0,1.56648637513518,2.15844775405052,2.28411513980552,1.53178386479651,1.08467482051748,1.16342267804184,1.74638014033204,1.26573736183216,1.82792415952841,1.32752398245225,1.04733402891442,0.336140552389953,0.0297783653900051,5,4,1,3,2,1,1,1,1
"1037",0.208001379296184,25,8,10,3,0,1.3424336522487,1.21280244291589,2.01952048863092,1.3031617175754,1.26442442406372,1.08910010369883,1.00390654984797,1.62166225189373,1.03037266894048,0.746810206817415,0.793894040340711,0.090917375723461,0.0391288060264155,11,11,6,5,7,6,2,1,0
"1038",0.2080702095991,10,8,1,2,0,1.91589321198343,2.2423080153401,2.35336996717463,1.90179497484717,1.35078722890935,1.48969084581896,1.13529659748695,1.04904721821912,0.944360581733631,1.18451618288308,1.20456940661414,0.000333743005686372,0.0445674571648406,6,2,4,3,1,1,1,1,0
"1039",0.208198379375972,38,4,12,10,0,1.10539812325193,0.616452222311121,1.59286699348015,1.09528276251093,0.889565191351927,0.825087599118472,0.990010784335645,1.28668489555025,0.43473666379311,0.522475259165508,0.579948583744755,0.011529175910796,0.391410488463173,19,15,12,9,9,6,3,3,1
"1040",0.20835260625463,64,8,23,4,0,0.400429786618433,0,1.65491947678445,0.331054253753213,1.02944353988232,0.780264917542564,0.468318043803922,0.746693175451218,0.769776057507978,0.190640500456142,0.748619355945827,0.682102268786363,0,28,23,21,19,15,12,9,5,4
"1041",0.209079857333563,25,6,10,7,0,1.19136462430033,2.02409188517603,1.37277543187301,1.17563310987131,0.928174262835914,0.511429354494786,0.616255105018867,0.143315323195232,1.00686858060512,0.433548361790066,0.930149335990826,0.475742251580615,0.000632791141838026,11,7,7,5,7,3,0,1,0
"1042",0.209256679168902,11,5,2,1,0,0.779693765009038,2.20791336055523,1.29022788187553,0.749352449390392,1.3647520027401,1.21810707241764,1.12701405004844,0.831745484789845,0.768588131974966,0.733081755093297,0.0107813718616993,0.313159260695187,0.0104324813372366,5,2,2,5,2,3,2,2,1
