"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.h",14,19,27,19,24,13,22,13,11,13,19,20,9,19,22,2,4
"extinctions.h.1",27,11,19,20,12,12,9,16,12,5,16,11,8,9,4,6,4
"extinctions.h.2",24,19,18,16,11,15,18,20,8,19,16,25,20,10,6,6,20
"extinctions.h.3",15,20,14,21,16,18,14,14,20,15,4,10,10,4,7,7,17
"extinctions.h.4",19,23,15,20,16,16,16,19,26,9,28,11,3,4,4,7,5
"extinctions.h.5",15,20,16,21,16,13,13,21,8,11,16,11,9,4,4,3,6
"extinctions.h.6",21,24,13,22,24,10,16,26,11,12,14,7,6,4,20,10,1
"extinctions.h.7",22,22,19,17,13,16,23,6,10,16,12,3,6,8,19,8,3
"extinctions.h.8",15,15,12,15,15,17,27,18,13,13,27,11,8,17,5,7,19
"extinctions.h.9",21,16,19,24,10,21,22,15,11,13,14,20,10,13,8,4,5
"extinctions.h.10",28,13,20,20,14,22,14,23,9,22,11,9,10,5,12,14,3
"extinctions.h.11",20,22,19,20,16,23,21,13,18,10,6,11,19,12,20,10,15
"extinctions.h.12",17,16,23,21,20,14,15,22,21,16,12,14,7,2,9,11,14
"extinctions.h.13",19,24,14,19,16,8,10,22,11,16,18,26,4,19,17,11,5
"extinctions.h.14",17,22,18,16,11,13,9,16,25,21,9,10,10,12,4,12,5
"extinctions.h.15",16,23,9,24,14,14,18,16,23,10,12,12,15,12,13,2,4
"extinctions.h.16",26,11,29,21,22,13,14,15,14,5,5,8,5,16,9,11,1
"extinctions.h.17",14,24,20,24,18,14,12,12,14,9,6,28,2,10,17,4,6
"extinctions.h.18",26,16,13,16,16,13,24,13,8,12,15,13,8,3,14,5,13
"extinctions.h.19",23,15,14,15,22,12,10,19,4,7,21,8,8,7,2,2,5
"extinctions.h.20",13,18,18,11,17,12,15,12,16,15,17,6,7,9,3,4,3
"extinctions.h.21",21,20,21,11,16,21,12,15,9,13,13,12,26,5,20,17,3
"extinctions.h.22",23,19,21,18,23,23,11,8,18,11,5,3,5,4,5,11,5
"extinctions.h.23",22,25,11,15,13,15,22,12,10,8,6,8,6,9,5,3,18
"extinctions.h.24",12,14,17,15,27,22,12,24,21,8,12,23,4,21,4,6,15
"extinctions.h.25",19,14,16,19,16,15,13,20,12,12,8,14,6,6,11,1,19
"extinctions.h.26",19,16,24,14,12,17,13,17,16,16,9,11,22,10,5,5,14
"extinctions.h.27",18,21,11,18,23,26,9,22,29,7,28,14,6,26,13,3,1
"extinctions.h.28",19,25,18,26,12,17,14,11,12,13,9,22,15,22,4,25,2
"extinctions.h.29",16,15,17,18,13,14,14,13,12,17,10,23,4,8,2,4,4
"extinctions.h.30",24,26,15,22,15,13,13,24,19,19,15,10,8,6,1,6,2
"extinctions.h.31",18,17,16,20,9,15,16,17,13,17,24,13,12,11,10,4,4
"extinctions.h.32",19,8,15,12,14,14,11,14,18,11,12,8,7,8,2,16,2
"extinctions.h.33",18,16,14,16,15,15,10,7,14,14,12,9,18,4,5,7,21
"extinctions.h.34",17,14,18,23,19,12,13,22,11,4,6,17,6,13,6,18,1
"extinctions.h.35",23,25,22,19,13,19,20,10,20,15,11,9,21,22,10,9,12
"extinctions.h.36",23,15,22,11,28,15,19,22,9,8,13,29,11,6,11,5,1
"extinctions.h.37",17,19,21,10,15,13,20,25,19,10,16,20,7,15,7,14,2
"extinctions.h.38",11,21,23,16,18,13,25,12,17,9,13,9,6,12,1,7,2
"extinctions.h.39",17,22,16,13,14,11,21,17,19,21,13,7,4,7,5,9,3
"extinctions.h.40",18,15,14,14,17,14,11,23,14,10,9,14,5,9,9,5,4
"extinctions.h.41",23,23,11,21,14,16,19,16,20,17,6,4,16,19,12,6,3
"extinctions.h.42",21,21,14,21,15,11,13,8,22,12,18,16,15,6,8,19,4
"extinctions.h.43",24,17,24,21,22,11,9,14,8,11,12,7,8,5,6,18,12
"extinctions.h.44",24,21,15,19,17,15,24,15,11,8,17,13,13,20,5,9,6
"extinctions.h.45",23,19,13,17,12,11,21,21,8,12,4,5,10,8,10,5,3
"extinctions.h.46",18,20,13,20,17,15,17,13,15,9,12,8,15,5,5,9,2
"extinctions.h.47",18,24,16,11,17,11,16,27,19,13,18,5,13,10,3,12,3
"extinctions.h.48",14,19,14,21,17,6,20,13,11,9,10,10,13,9,8,7,6
"extinctions.h.49",14,14,23,13,21,11,12,10,14,7,20,18,6,22,7,8,1
"extinctions.h.50",22,16,16,23,15,9,29,16,16,8,11,11,9,2,6,6,3
"extinctions.h.51",15,17,22,16,26,13,14,16,11,11,11,12,9,18,26,18,5
"extinctions.h.52",17,21,19,22,15,13,22,17,11,10,11,11,11,12,8,2,1
"extinctions.h.53",24,17,16,12,20,19,21,8,16,17,18,16,19,4,26,8,2
"extinctions.h.54",18,23,23,22,15,11,6,9,13,12,13,21,11,6,10,25,3
"extinctions.h.55",21,14,19,18,17,10,12,12,8,10,6,9,6,9,6,13,8
"extinctions.h.56",24,19,14,22,14,14,15,11,17,20,6,6,6,8,6,4,11
"extinctions.h.57",13,13,24,12,16,8,15,23,8,9,16,7,13,2,5,22,0
"extinctions.h.58",17,16,18,12,8,10,14,10,12,10,12,22,7,7,21,5,10
"extinctions.h.59",31,22,19,11,14,22,16,20,11,12,13,6,10,4,10,4,1
"extinctions.h.60",22,19,21,21,14,11,10,14,11,12,7,4,4,6,2,4,4
"extinctions.h.61",19,17,21,16,17,16,11,15,17,13,29,4,20,23,28,23,1
"extinctions.h.62",25,22,15,17,17,25,19,18,20,26,8,12,2,4,2,4,3
"extinctions.h.63",15,23,14,8,25,24,20,19,8,8,22,10,27,16,9,12,2
"extinctions.h.64",17,16,21,20,12,19,23,17,10,16,9,10,10,3,10,10,1
"extinctions.h.65",19,22,15,11,18,13,14,18,9,14,8,12,12,5,10,15,5
"extinctions.h.66",18,20,13,15,18,14,24,8,10,21,6,9,19,19,15,1,9
"extinctions.h.67",18,18,18,14,14,11,19,23,12,16,11,6,8,7,16,5,4
"extinctions.h.68",19,19,24,23,20,13,21,26,11,17,10,7,22,5,10,6,20
"extinctions.h.69",20,13,10,17,14,18,8,27,13,19,8,4,9,10,7,13,22
"extinctions.h.70",23,19,21,13,25,14,27,12,11,14,9,11,10,3,6,19,3
"extinctions.h.71",21,21,20,19,18,21,13,15,11,9,19,10,26,26,6,9,1
"extinctions.h.72",22,18,23,12,13,18,12,16,11,7,14,8,11,7,3,14,3
"extinctions.h.73",20,22,13,29,15,19,22,22,13,15,17,10,6,13,7,4,11
"extinctions.h.74",15,22,24,11,21,16,17,12,10,10,8,9,8,5,7,9,2
"extinctions.h.75",22,14,15,17,14,10,18,12,13,11,9,12,7,6,11,5,2
"extinctions.h.76",24,27,14,17,17,9,9,14,10,10,19,11,7,16,7,8,13
"extinctions.h.77",19,19,14,13,16,11,9,8,3,16,19,22,13,5,12,4,18
"extinctions.h.78",21,21,15,14,18,17,21,13,13,15,23,11,8,5,14,2,2
"extinctions.h.79",26,23,19,14,19,10,15,7,10,23,17,7,7,9,1,24,5
"extinctions.h.80",13,28,14,15,16,11,19,25,9,14,9,15,8,7,14,6,3
"extinctions.h.81",18,20,20,20,17,14,10,19,11,9,10,10,4,12,4,5,22
"extinctions.h.82",24,24,16,19,10,10,12,15,24,20,18,7,7,11,14,3,9
"extinctions.h.83",17,18,21,20,21,23,9,26,14,6,9,9,11,11,3,3,1
"extinctions.h.84",23,21,12,22,21,14,14,12,11,10,13,13,9,6,6,3,14
"extinctions.h.85",19,16,15,13,19,18,22,15,19,11,24,12,7,4,7,23,4
"extinctions.h.86",20,15,20,21,14,15,15,16,7,9,13,8,13,5,22,5,4
"extinctions.h.87",18,22,13,14,8,22,23,15,16,14,7,6,8,5,21,11,4
"extinctions.h.88",18,18,22,21,11,20,14,14,14,26,18,9,9,5,16,3,13
"extinctions.h.89",19,24,23,19,12,20,12,12,12,17,19,3,6,7,7,5,7
"extinctions.h.90",16,20,23,11,17,15,24,20,20,9,16,6,14,21,8,2,7
"extinctions.h.91",17,17,16,15,20,21,18,28,12,11,14,10,13,5,2,4,1
"extinctions.h.92",20,20,13,18,12,20,10,11,13,9,8,12,12,10,5,3,1
"extinctions.h.93",20,19,15,18,10,18,13,19,6,13,9,4,24,13,4,10,2
"extinctions.h.94",17,16,16,10,11,19,15,21,5,13,12,29,19,21,3,25,5
"extinctions.h.95",17,26,13,22,15,9,16,16,19,18,15,12,7,3,6,1,7
"extinctions.h.96",23,16,16,21,16,25,14,17,16,11,8,10,14,5,6,5,3
"extinctions.h.97",25,15,19,22,12,12,17,21,15,8,12,5,12,5,0,7,18
"extinctions.h.98",21,16,15,23,15,9,9,8,7,7,11,11,17,8,7,4,21
"extinctions.h.99",14,15,25,14,17,20,13,15,12,15,13,13,8,5,10,6,21
