"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.72",43,29,17,19,26,22,35,16,21,21,20,22,11,14,24,42,10
"extinctions.73",36,31,27,21,22,37,27,20,48,21,14,15,19,26,12,18,19
"extinctions.74",33,23,27,37,20,38,22,39,11,21,16,15,18,8,14,9,11
"extinctions.75",24,29,18,25,42,29,20,27,26,24,17,28,12,36,42,19,15
"extinctions.76",32,32,23,24,22,29,22,19,26,26,11,53,15,24,19,36,9
"extinctions.77",33,22,17,25,29,24,17,24,33,30,21,22,14,10,10,19,33
"extinctions.78",33,22,26,19,24,31,26,23,20,17,43,21,15,33,12,19,35
"extinctions.79",35,21,35,15,19,19,25,25,19,36,50,28,15,14,28,14,17
"extinctions.80",27,26,24,25,18,28,37,28,27,30,9,12,11,14,11,16,4
"extinctions.81",38,33,35,19,40,27,40,19,15,15,20,17,17,22,4,24,22
"extinctions.82",37,27,26,21,27,22,20,24,13,35,22,43,8,18,17,23,17
"extinctions.83",43,26,20,28,24,17,10,19,25,26,33,26,14,14,10,8,13
"extinctions.84",27,42,24,39,19,36,24,19,19,16,16,16,18,13,11,16,19
"extinctions.85",27,36,24,30,15,32,37,18,22,22,25,22,22,14,20,36,11
"extinctions.86",22,18,17,23,41,22,17,27,45,16,17,14,15,31,22,26,7
"extinctions.87",37,27,32,24,21,40,17,17,19,22,19,16,20,11,11,4,22
"extinctions.88",34,21,28,30,20,23,19,17,14,21,46,16,18,19,12,29,9
"extinctions.89",32,38,28,30,25,24,32,30,20,15,37,30,17,23,20,29,9
"extinctions.90",21,32,20,19,21,28,20,9,24,29,19,12,24,22,12,17,13
"extinctions.91",40,28,22,30,27,30,44,25,23,32,22,20,21,15,11,35,14
"extinctions.92",23,22,39,23,18,38,28,29,17,29,16,21,17,6,24,12,8
"extinctions.93",39,22,19,22,19,34,24,21,14,24,12,27,9,10,16,23,27
"extinctions.94",38,39,21,25,26,17,20,21,18,21,13,17,13,22,23,19,5
"extinctions.95",28,33,37,30,22,26,20,20,43,12,12,12,19,15,12,13,36
"extinctions.96",33,23,34,43,31,27,18,34,45,41,24,19,21,12,14,9,11
"extinctions.97",43,26,31,42,23,20,33,37,35,10,28,8,17,20,17,7,19
"extinctions.98",20,35,20,24,13,27,24,21,16,19,15,21,18,13,21,21,12
"extinctions.99",29,27,28,21,18,36,18,42,29,25,20,28,14,9,30,15,17
