"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.82",42,47,53,52,55,53,49,55,50,56,52,56,56,54,51,47,48
"extinctions.83",48,47,48,54,52,56,57,51,57,58,50,52,52,59,59,51,48
"extinctions.84",40,48,50,52,50,55,52,54,58,54,56,61,52,49,61,52,62
"extinctions.85",46,46,47,53,55,57,52,57,57,57,52,56,62,52,58,53,61
"extinctions.86",41,54,50,56,47,59,50,51,54,58,55,54,58,54,54,55,56
"extinctions.87",44,51,44,50,53,55,48,55,56,45,50,58,59,55,54,58,53
"extinctions.88",49,46,47,53,48,49,50,50,56,51,50,52,52,59,57,47,47
"extinctions.89",43,51,56,53,51,58,50,59,43,56,56,55,59,52,56,52,61
"extinctions.90",37,43,59,46,50,51,55,51,58,54,52,58,45,50,58,44,51
"extinctions.91",44,41,53,49,49,49,54,53,49,57,58,55,59,58,60,49,53
"extinctions.92",43,53,48,45,50,49,53,53,48,58,51,47,53,61,57,56,57
"extinctions.93",47,50,55,56,53,54,49,58,57,48,61,55,59,48,56,54,54
"extinctions.94",42,48,50,51,50,48,55,57,57,54,54,53,58,58,52,48,53
"extinctions.95",42,43,50,55,51,49,54,59,59,56,50,53,54,52,61,52,56
"extinctions.96",50,46,47,47,50,48,51,57,51,56,50,62,53,55,53,57,57
"extinctions.97",44,45,54,50,55,55,56,48,49,55,50,56,47,46,51,58,47
"extinctions.98",42,52,49,50,48,51,54,57,53,50,56,57,52,48,52,48,59
"extinctions.99",49,47,47,51,57,57,52,53,54,53,49,48,53,53,51,60,59
"extinctions.100",40,49,50,49,53,54,57,60,54,56,53,48,57,47,59,53,51
"extinctions.101",41,48,50,52,51,54,58,55,56,56,57,53,59,50,61,61,53
"extinctions.102",46,52,48,52,55,51,47,58,54,50,56,53,60,59,49,55,56
"extinctions.103",46,44,49,46,57,55,53,49,57,58,48,47,55,48,59,56,57
"extinctions.104",41,44,50,52,52,49,53,53,49,46,60,57,58,48,47,47,51
"extinctions.105",41,48,47,49,58,56,48,54,56,49,53,57,43,55,56,47,53
"extinctions.106",42,53,50,52,50,56,50,58,46,54,45,57,50,57,61,58,47
"extinctions.107",46,44,53,50,53,60,51,56,53,45,51,57,54,47,59,59,52
"extinctions.108",45,51,48,54,46,51,54,49,48,54,53,62,50,55,49,53,55
"extinctions.109",45,47,48,49,54,52,52,54,49,51,49,57,48,50,60,57,52
"extinctions.110",41,45,53,55,49,53,53,53,52,48,48,51,50,46,62,59,52
"extinctions.111",44,47,49,51,53,52,58,51,52,50,56,56,55,55,50,59,60
"extinctions.112",42,48,49,56,54,54,53,54,54,54,48,57,46,57,54,54,49
"extinctions.113",44,46,50,55,53,55,54,47,52,51,61,60,50,57,56,49,54
"extinctions.114",36,51,45,52,52,50,56,49,56,52,56,60,47,59,48,55,56
"extinctions.115",45,57,46,52,48,55,55,59,56,57,53,51,59,60,53,46,56
"extinctions.116",42,45,49,59,54,57,53,56,57,52,58,56,62,50,56,63,52
