"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.l",14,13,8,8,8,6,4,5,10,2,11,7,3,6,9,11,11
"extinctions.l.1",10,10,8,10,8,9,11,6,11,5,15,6,4,9,9,4,4
"extinctions.l.2",10,5,9,11,13,9,4,3,4,11,4,11,4,1,4,3,5
"extinctions.l.3",15,11,8,6,4,5,5,4,5,4,2,11,10,3,3,6,2
"extinctions.l.4",13,9,10,7,7,6,6,6,12,5,8,6,11,2,4,9,11
"extinctions.l.5",12,11,12,12,4,6,6,5,6,6,5,3,3,3,3,3,16
"extinctions.l.6",16,9,10,2,9,7,2,11,7,6,2,12,1,0,3,4,2
"extinctions.l.7",15,11,13,12,4,7,6,2,6,5,5,3,12,2,14,11,5
"extinctions.l.8",13,9,13,8,5,5,6,7,3,6,5,7,5,2,6,2,4
"extinctions.l.9",14,13,8,5,4,5,4,7,6,5,4,10,5,4,7,4,4
"extinctions.l.10",9,8,5,5,10,5,4,5,1,3,4,8,6,3,2,4,5
"extinctions.l.11",12,9,8,4,7,11,6,13,5,2,5,4,5,4,4,5,5
"extinctions.l.12",8,8,10,7,7,7,15,11,7,3,5,4,3,5,13,5,1
"extinctions.l.13",10,8,9,8,6,10,5,11,7,1,11,9,8,16,5,2,2
"extinctions.l.14",11,9,12,6,13,12,5,6,6,4,6,6,5,5,4,4,4
"extinctions.l.15",14,11,6,8,5,6,7,5,4,7,4,2,5,6,3,3,4
"extinctions.l.16",9,10,7,6,7,4,6,7,7,10,4,7,9,10,3,2,2
"extinctions.l.17",14,13,12,13,6,7,5,6,8,5,7,5,12,6,3,12,1
"extinctions.l.18",14,11,5,10,9,9,8,5,13,10,16,4,2,10,5,2,9
"extinctions.l.19",13,9,8,8,9,6,3,3,4,7,2,3,5,15,7,1,2
"extinctions.l.20",10,10,10,7,2,3,4,6,6,16,6,12,7,3,2,4,7
"extinctions.l.21",12,10,9,4,7,11,9,6,8,9,7,6,6,15,7,1,6
"extinctions.l.22",9,4,9,6,6,9,2,11,5,6,5,2,4,6,5,6,3
"extinctions.l.23",13,10,6,13,10,5,8,3,5,7,4,2,3,7,8,5,0
"extinctions.l.24",14,11,6,5,9,12,9,9,11,3,2,16,5,12,4,3,1
"extinctions.l.25",11,15,11,7,12,6,6,7,12,5,7,8,8,15,3,3,2
"extinctions.l.26",11,9,6,7,11,4,4,7,8,6,13,11,2,1,3,4,1
"extinctions.l.27",10,9,8,11,8,5,6,7,7,11,10,9,6,2,11,7,3
"extinctions.l.28",15,11,8,11,7,2,8,6,3,11,9,5,3,2,13,2,3
"extinctions.l.29",14,5,4,9,10,10,4,4,8,2,4,5,4,16,6,10,3
"extinctions.l.30",15,11,4,5,6,8,6,11,3,8,8,8,9,12,4,3,13
"extinctions.l.31",15,9,9,7,3,7,7,5,8,5,5,15,7,6,3,3,2
"extinctions.l.32",12,13,5,7,13,9,7,8,4,6,10,6,8,7,13,9,4
"extinctions.l.33",16,12,10,8,8,7,7,5,9,7,5,9,5,2,2,1,6
"extinctions.l.34",14,12,11,7,9,6,3,9,3,6,7,14,4,9,6,3,6
"extinctions.l.35",11,5,6,12,8,5,3,8,6,5,8,9,1,5,9,0,14
"extinctions.l.36",13,12,10,11,11,0,10,3,7,3,12,6,3,3,3,8,5
"extinctions.l.37",10,8,5,13,8,4,4,10,7,7,5,6,4,14,14,0,4
"extinctions.l.38",14,15,9,6,9,6,10,7,3,3,4,7,5,0,0,14,1
