"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.h.69",10,5,4,12,11,10,13,14,12,12,13,6,12,5,15,8,6
"extinctions.h.70",7,11,13,14,12,14,8,10,10,11,14,8,10,9,14,9,8
"extinctions.h.71",4,10,6,11,14,13,9,14,14,12,9,9,7,7,9,11,15
"extinctions.h.72",8,7,7,2,10,11,12,11,9,13,10,7,11,15,4,10,14
"extinctions.h.73",4,8,7,10,12,8,13,6,10,8,12,12,10,10,15,14,10
"extinctions.h.74",10,9,13,14,11,8,9,14,14,11,13,8,14,8,9,11,9
"extinctions.h.75",9,14,14,7,10,13,14,9,12,7,9,14,3,8,11,6,12
"extinctions.h.76",7,11,12,15,10,14,9,13,11,13,12,10,8,14,15,10,5
"extinctions.h.77",3,8,12,13,11,12,13,13,12,14,10,6,12,8,7,6,12
"extinctions.h.78",11,11,13,14,9,10,10,14,12,13,9,8,13,5,12,6,5
"extinctions.h.79",4,10,12,5,8,12,11,7,11,10,10,13,13,10,15,7,7
"extinctions.h.80",9,9,9,12,12,12,12,14,8,8,13,9,13,8,14,7,11
"extinctions.h.81",6,10,13,9,13,8,11,9,10,9,12,11,11,10,15,15,15
"extinctions.h.82",10,11,10,5,11,13,15,14,10,9,8,12,15,13,5,12,9
"extinctions.h.83",7,9,9,3,15,11,10,10,8,11,13,7,10,7,11,13,12
"extinctions.h.84",7,6,4,13,12,9,14,12,13,13,13,13,15,14,8,12,10
"extinctions.h.85",6,8,14,12,9,10,11,10,7,13,10,10,12,14,13,11,10
"extinctions.h.86",7,10,14,12,11,15,10,9,11,14,10,14,8,9,11,14,14
"extinctions.h.87",10,3,8,8,14,12,10,12,11,12,11,10,9,14,9,10,7
"extinctions.h.88",11,8,9,8,12,12,11,8,10,9,6,8,12,10,10,14,12
