"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.lBAS.32",10,8,10,12,13,10,11,11,10,15,11,11,14,13,15,10,14
"extinctions.lBAS.33",9,8,10,8,11,15,10,12,14,10,11,13,14,14,12,15,11
"extinctions.lBAS.34",8,10,14,12,14,13,14,14,12,14,14,12,13,12,14,15,15
"extinctions.lBAS.35",6,12,13,11,9,10,11,12,10,11,15,14,12,13,14,12,15
"extinctions.lBAS.36",9,8,10,13,10,11,11,10,13,11,12,12,12,13,13,16,14
"extinctions.lBAS.37",15,10,6,8,13,11,16,14,7,11,15,13,11,15,13,8,11
"extinctions.lBAS.38",9,8,6,10,11,10,8,9,14,12,10,7,13,10,15,10,13
"extinctions.lBAS.39",10,11,6,8,9,9,12,15,15,11,11,14,10,13,13,14,15
"extinctions.lBAS.40",10,8,9,10,10,11,10,9,13,13,14,9,11,14,14,16,11
"extinctions.lBAS.41",9,6,9,12,8,13,11,14,15,9,14,15,12,13,16,16,14
"extinctions.lBAS.42",8,10,11,11,8,11,11,9,11,14,14,15,15,14,13,15,12
"extinctions.lBAS.43",11,12,9,10,11,11,11,12,13,12,11,11,14,13,13,12,13
"extinctions.lBAS.44",8,8,10,12,9,7,13,10,12,9,14,14,14,14,14,13,15
"extinctions.lBAS.45",14,7,8,10,10,12,10,12,12,11,13,10,12,14,14,13,15
"extinctions.lBAS.46",8,6,9,9,10,11,12,13,8,10,14,14,13,15,16,10,15
"extinctions.lBAS.47",8,8,11,10,11,10,14,13,14,13,11,13,14,14,15,15,13
"extinctions.lBAS.48",11,11,7,11,9,9,10,11,10,13,14,9,14,10,15,10,13
"extinctions.lBAS.49",10,14,11,12,11,12,11,12,9,11,15,9,14,11,10,15,14
"extinctions.lBAS.50",8,12,11,15,13,11,9,13,14,12,15,14,12,15,15,15,12
"extinctions.lBAS.51",9,10,7,14,10,11,13,16,12,13,12,12,16,11,16,14,14
"extinctions.lBAS.52",8,13,8,10,5,12,9,9,10,9,13,16,15,13,11,13,13
"extinctions.lBAS.53",10,10,11,13,14,15,13,13,12,12,12,13,12,16,14,13,14
"extinctions.lBAS.54",10,8,12,10,9,13,9,13,14,14,12,11,12,12,15,14,14
"extinctions.lBAS.55",8,8,8,11,11,11,14,10,12,13,10,12,12,10,13,12,10
"extinctions.lBAS.56",8,11,11,8,12,10,12,13,12,13,13,11,13,15,12,15,15
"extinctions.lBAS.57",9,14,12,8,9,11,12,14,13,11,12,14,16,16,15,14,11
"extinctions.lBAS.58",8,11,11,12,11,12,14,11,15,12,15,14,13,13,12,16,13
"extinctions.lBAS.59",10,11,8,11,9,12,14,10,15,14,12,12,10,12,13,16,13
"extinctions.lBAS.60",8,6,12,9,6,12,12,9,11,12,13,11,15,12,11,12,11
"extinctions.lBAS.61",13,12,12,8,11,9,12,10,12,12,11,9,12,12,13,14,13
"extinctions.lBAS.62",11,11,11,12,10,11,13,9,10,11,13,8,12,12,11,15,14
"extinctions.lBAS.63",9,10,11,12,9,10,12,13,8,12,11,14,10,12,10,11,16
"extinctions.lBAS.64",10,8,11,8,14,11,13,14,14,14,11,13,13,12,14,14,16
"extinctions.lBAS.65",8,9,12,14,10,9,13,10,13,15,10,13,12,16,14,14,13
"extinctions.lBAS.66",8,9,8,11,14,9,14,13,13,8,11,14,14,16,13,13,12
"extinctions.lBAS.67",8,9,11,11,10,9,13,10,10,12,13,10,9,12,16,14,14
"extinctions.lBAS.68",8,8,8,13,14,8,13,11,13,10,13,13,16,13,11,14,12
"extinctions.lBAS.69",13,8,11,11,9,7,13,11,12,9,11,12,13,16,12,12,10
"extinctions.lBAS.70",11,10,8,13,12,10,12,11,9,10,13,12,10,14,13,10,16
"extinctions.lBAS.71",9,10,13,11,11,12,15,9,12,12,9,10,13,12,16,14,15
"extinctions.lBAS.72",8,9,7,11,12,12,11,12,12,11,13,9,15,16,13,12,13
"extinctions.lBAS.73",8,8,11,12,6,10,11,9,9,9,12,14,14,15,12,15,12
"extinctions.lBAS.74",11,11,9,15,10,12,11,11,13,11,12,11,11,13,13,16,11
"extinctions.lBAS.75",10,12,10,12,12,11,14,13,10,14,11,13,14,14,12,13,14
"extinctions.lBAS.76",11,12,9,8,9,11,7,12,15,8,12,15,12,13,13,10,14
"extinctions.lBAS.77",9,8,11,9,7,11,10,13,11,12,13,10,11,16,12,15,16
"extinctions.lBAS.78",9,7,11,9,14,12,8,11,10,11,9,12,13,13,12,11,13
"extinctions.lBAS.79",8,10,8,12,9,14,10,11,13,9,12,13,12,13,14,11,13
"extinctions.lBAS.80",9,7,10,8,12,14,13,10,11,12,11,16,10,13,14,14,13
"extinctions.lBAS.81",8,12,9,14,9,11,7,13,12,15,12,9,15,15,15,15,14
"extinctions.lBAS.82",7,7,12,8,12,13,12,14,11,10,16,10,13,15,11,16,13
"extinctions.lBAS.83",8,8,13,15,10,14,10,10,14,13,12,14,13,13,15,16,12
"extinctions.lBAS.84",7,8,13,10,10,11,11,11,15,12,12,15,14,12,14,14,15
"extinctions.lBAS.85",10,11,8,12,10,13,11,15,12,11,12,14,16,14,13,14,12
"extinctions.lBAS.86",13,10,12,9,11,9,9,11,9,12,11,12,12,14,16,14,12
"extinctions.lBAS.87",10,10,9,10,13,13,12,13,11,14,10,12,12,13,15,16,13
"extinctions.lBAS.88",11,8,10,9,9,12,11,9,12,12,12,11,14,15,11,12,15
"extinctions.lBAS.89",12,9,8,12,10,12,13,10,10,13,9,10,14,12,13,14,16
"extinctions.lBAS.90",13,11,11,9,15,8,11,13,11,11,12,12,10,11,13,15,14
"extinctions.lBAS.91",9,10,14,8,8,11,12,12,13,11,11,15,12,15,16,16,12
"extinctions.lBAS.92",9,11,11,8,10,9,13,13,12,10,10,11,14,12,15,13,13
"extinctions.lBAS.93",9,11,7,12,11,11,11,14,11,10,13,11,11,11,14,15,16
"extinctions.lBAS.94",13,9,10,9,11,12,10,11,12,14,9,11,15,13,15,12,12
"extinctions.lBAS.95",8,11,8,13,14,11,11,13,9,12,12,13,12,16,15,14,13
"extinctions.lBAS.96",10,7,12,10,6,14,10,10,14,12,14,14,13,12,14,16,12
"extinctions.lBAS.97",14,8,12,9,6,13,15,15,12,14,10,12,11,11,13,15,16
"extinctions.lBAS.98",13,11,8,11,12,11,11,13,11,15,11,15,13,13,16,12,15
"extinctions.lBAS.99",11,10,13,11,9,9,10,14,9,12,11,14,13,9,13,12,13
