"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.lBAS",10,10,8,11,12,10,11,15,10,15,12,15,15,14,12,13,16
"extinctions.lBAS.1",10,9,9,7,11,8,14,11,10,13,11,10,13,14,13,13,13
"extinctions.lBAS.2",9,7,9,9,12,8,12,12,12,12,12,8,15,13,13,15,13
"extinctions.lBAS.3",8,13,11,11,12,12,9,13,9,15,10,11,11,14,11,14,15
"extinctions.lBAS.4",13,9,8,12,12,9,13,12,11,11,10,12,13,13,15,12,15
"extinctions.lBAS.5",14,9,10,10,8,12,13,10,14,15,12,14,13,16,13,12,12
"extinctions.lBAS.6",8,10,7,10,13,11,11,10,11,12,10,11,12,13,10,15,13
"extinctions.lBAS.7",7,8,8,10,10,9,10,10,12,13,11,11,12,9,11,16,16
"extinctions.lBAS.8",10,8,6,11,10,11,11,13,11,9,12,13,14,13,10,14,13
"extinctions.lBAS.9",8,12,15,11,12,12,10,9,12,12,8,12,11,13,11,14,8
"extinctions.lBAS.10",8,11,9,10,13,14,10,13,10,10,13,13,10,14,15,12,12
"extinctions.lBAS.11",8,9,11,12,7,11,12,11,12,13,12,9,12,16,13,14,12
"extinctions.lBAS.12",8,15,10,11,11,12,13,11,12,15,13,12,14,12,16,12,14
"extinctions.lBAS.13",8,12,9,13,15,11,9,10,16,11,15,10,15,14,14,16,14
"extinctions.lBAS.14",11,8,12,8,11,12,11,8,10,10,10,11,13,10,14,11,15
"extinctions.lBAS.15",10,7,8,10,10,15,12,12,14,15,12,11,14,13,12,14,12
"extinctions.lBAS.16",8,8,11,11,11,10,12,10,10,12,12,12,13,15,14,12,12
"extinctions.lBAS.17",9,9,15,9,8,9,11,13,14,14,13,10,11,10,11,12,12
"extinctions.lBAS.18",10,9,8,11,13,10,12,15,12,11,13,10,14,13,9,15,12
"extinctions.lBAS.19",9,11,9,9,11,10,11,11,11,14,12,12,15,13,13,11,14
"extinctions.lBAS.20",9,10,11,9,15,8,13,13,11,13,13,15,14,13,13,15,13
"extinctions.lBAS.21",8,8,9,7,11,10,11,8,14,10,11,11,14,14,14,10,13
"extinctions.lBAS.22",9,12,9,7,9,13,11,11,14,10,14,12,13,13,14,15,13
"extinctions.lBAS.23",15,8,10,14,13,14,14,12,13,14,12,15,8,14,14,13,9
"extinctions.lBAS.24",8,9,12,14,12,9,11,12,9,13,10,14,13,9,12,12,9
"extinctions.lBAS.25",8,11,8,11,10,11,10,14,10,10,15,13,15,12,16,16,16
"extinctions.lBAS.26",7,11,9,9,9,9,15,8,12,13,15,12,12,13,13,14,13
"extinctions.lBAS.27",7,8,13,11,9,12,10,14,10,14,12,10,14,13,10,14,15
"extinctions.lBAS.28",9,9,10,11,12,13,14,12,10,12,10,15,12,12,14,15,14
"extinctions.lBAS.29",9,10,8,7,10,12,10,11,13,16,14,11,14,13,8,12,11
"extinctions.lBAS.30",8,9,13,11,13,11,10,13,9,14,11,13,14,13,16,14,15
"extinctions.lBAS.31",12,12,14,13,10,10,13,13,12,12,9,13,11,14,14,13,14
