"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions",67,77,90,58,93,51,96,60,49,58,68,78,41,57,68,38,25
"extinctions.1",104,58,81,69,60,56,40,53,48,39,83,43,40,50,38,48,34
"extinctions.2",88,82,62,62,60,69,63,71,44,90,79,92,77,49,31,66,73
"extinctions.3",67,78,77,90,62,75,58,45,74,55,48,67,70,43,32,58,63
"extinctions.4",55,91,61,75,59,68,88,77,80,42,105,46,34,40,28,50,31
"extinctions.5",63,75,69,67,57,47,68,72,53,50,73,49,41,50,51,31,31
"extinctions.6",88,82,58,76,72,67,64,100,47,44,63,34,32,32,67,59,42
"extinctions.7",86,88,68,71,50,62,92,42,49,60,45,59,42,29,77,49,28
"extinctions.8",68,56,63,66,64,74,110,75,46,67,107,61,62,91,41,49,79
"extinctions.9",65,71,61,89,47,59,74,57,63,36,63,59,48,61,78,47,46
"extinctions.10",99,74,84,89,67,73,59,76,50,87,58,50,55,48,77,63,73
"extinctions.11",74,85,81,66,66,75,67,68,64,28,57,44,86,44,70,65,65
"extinctions.12",75,74,78,82,71,52,53,76,82,65,63,50,44,44,51,69,79
"extinctions.13",76,91,66,69,66,46,47,79,39,59,63,95,38,78,72,75,45
"extinctions.14",77,93,77,67,61,51,60,79,99,79,38,49,58,58,38,62,41
"extinctions.15",72,83,51,75,54,54,76,85,85,39,57,74,57,61,50,42,39
"extinctions.16",96,64,105,82,77,62,58,54,62,68,27,67,25,53,45,45,37
"extinctions.17",83,85,78,97,60,63,58,63,66,48,38,85,45,40,79,23,49
"extinctions.18",97,80,52,60,68,50,86,59,44,52,50,46,44,36,66,51,64
"extinctions.19",82,69,64,73,86,63,64,60,38,52,71,45,45,48,24,38,52
"extinctions.20",64,81,84,60,76,55,69,40,64,61,82,37,43,55,48,23,43
"extinctions.21",76,74,83,49,74,67,66,60,50,50,55,53,97,23,89,78,38
"extinctions.22",87,76,84,75,80,74,64,66,72,67,36,28,66,28,34,68,43
"extinctions.23",81,103,58,59,51,50,88,56,40,59,50,48,37,29,44,31,69
"extinctions.24",66,56,71,51,100,91,56,81,80,37,74,82,31,54,31,38,69
"extinctions.25",77,75,70,69,58,51,57,81,52,54,56,44,62,36,41,36,63
"extinctions.26",85,72,91,64,57,53,60,51,64,52,46,71,79,66,43,43,75
"extinctions.27",83,84,56,86,75,103,39,57,103,57,98,61,51,96,73,33,12
"extinctions.28",78,99,83,87,43,61,49,51,55,67,40,66,62,91,39,86,25
"extinctions.29",73,71,66,64,50,64,55,63,59,64,49,78,43,45,27,51,35
"extinctions.30",96,103,59,98,53,66,62,91,72,97,71,59,44,37,72,55,32
"extinctions.31",56,85,70,74,38,45,60,68,66,74,85,66,55,63,39,40,21
"extinctions.32",73,60,66,55,60,55,66,63,84,52,54,43,51,54,32,61,37
"extinctions.33",74,72,59,69,72,74,52,39,58,59,63,41,63,39,44,56,90
"extinctions.34",76,54,66,89,70,43,52,88,59,64,62,73,40,42,56,79,25
"extinctions.35",89,91,96,56,49,73,84,55,79,61,43,76,80,78,42,55,60
"extinctions.36",89,83,76,47,89,61,93,96,43,38,72,99,57,37,47,32,15
"extinctions.37",70,78,67,54,55,53,78,106,69,49,52,78,42,61,50,93,27
"extinctions.38",54,92,82,63,72,61,106,61,60,46,63,57,44,51,53,51,38
"extinctions.39",67,96,63,66,57,53,85,69,76,76,63,47,44,52,23,52,23
"extinctions.40",86,61,72,58,67,53,49,73,72,50,56,62,32,40,38,25,74
"extinctions.41",93,92,54,74,52,68,60,89,57,78,37,41,57,58,35,54,52
"extinctions.42",88,84,61,83,65,49,60,47,79,43,78,68,82,56,51,84,34
"extinctions.43",95,77,85,93,77,66,43,65,49,50,44,49,66,52,34,72,67
"extinctions.44",91,86,70,66,82,65,69,75,52,49,58,52,76,76,45,53,30
"extinctions.45",84,87,55,60,54,50,68,67,44,69,34,30,46,45,38,44,43
"extinctions.46",82,65,63,78,57,63,66,46,59,56,51,59,74,40,40,56,33
"extinctions.47",88,88,67,64,93,43,66,83,65,51,61,52,58,48,30,88,32
"extinctions.48",68,91,59,79,56,54,84,60,67,49,63,58,65,44,47,32,34
"extinctions.49",74,61,100,66,64,62,43,67,53,43,83,76,41,102,57,51,24
"extinctions.50",91,63,45,95,58,51,104,56,59,56,44,68,52,43,55,35,32
