"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.l.79",26,24,22,11,21,16,13,22,21,20,18,19,8,12,7,18,12
"extinctions.l.80",29,24,13,21,17,23,16,17,22,11,12,17,16,16,23,18,13
"extinctions.l.81",26,17,25,16,17,15,14,11,16,14,11,29,14,15,20,20,22
"extinctions.l.82",22,22,17,26,18,13,16,21,20,20,10,13,16,18,20,12,19
"extinctions.l.83",28,15,24,20,20,20,14,27,20,16,11,29,17,15,15,31,22
"extinctions.l.84",27,23,18,24,18,18,21,15,22,9,8,10,10,13,16,9,11
"extinctions.l.85",24,26,18,19,24,17,24,15,16,30,12,19,11,18,20,26,13
"extinctions.l.86",22,21,23,17,18,20,10,14,20,8,16,16,23,7,14,10,11
"extinctions.l.87",28,15,21,23,19,14,12,17,10,10,13,27,26,17,13,13,12
"extinctions.l.88",24,24,21,14,26,23,16,12,19,19,15,20,19,16,16,15,15
"extinctions.l.89",19,24,21,20,12,19,10,13,18,20,17,21,19,29,13,8,8
"extinctions.l.90",23,20,23,19,13,10,15,18,13,22,13,28,17,12,7,18,10
"extinctions.l.91",21,28,14,19,15,19,13,24,9,21,12,11,14,13,9,12,6
"extinctions.l.92",22,21,22,17,23,13,16,12,12,15,20,22,14,13,9,27,18
"extinctions.l.93",29,27,19,24,25,24,22,21,24,11,26,25,26,12,20,12,20
"extinctions.l.94",26,24,21,16,16,12,14,23,12,15,16,16,11,19,16,15,11
"extinctions.l.95",25,29,14,14,17,16,17,14,12,7,19,17,20,26,14,22,18
"extinctions.l.96",32,21,13,21,17,18,13,16,17,8,20,12,20,18,10,18,12
"extinctions.l.97",29,19,27,16,14,14,15,12,23,18,11,5,18,10,11,6,21
"extinctions.l.98",26,25,23,18,25,14,20,10,21,16,13,24,10,21,17,5,11
"extinctions.l.99",25,24,18,15,18,19,14,17,15,16,7,14,9,26,11,9,26
