"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.72",76,79,82,50,57,63,81,59,47,65,45,63,60,60,25,35,26
"extinctions.73",77,69,87,60,75,35,56,71,53,80,47,73,55,44,45,19,32
"extinctions.74",75,63,61,64,57,76,98,76,95,62,48,39,55,51,81,30,29
"extinctions.75",81,76,54,79,59,75,54,54,52,81,66,63,50,63,28,41,32
"extinctions.76",106,82,79,84,73,76,59,65,62,60,93,52,52,39,28,51,60
"extinctions.77",79,79,64,58,73,92,82,71,65,54,72,51,98,91,63,68,77
"extinctions.78",93,82,62,68,67,90,71,48,39,46,55,65,53,74,28,32,33
"extinctions.79",96,92,60,50,62,63,51,55,68,63,85,54,70,48,38,70,39
"extinctions.80",88,96,73,58,56,67,71,53,81,68,64,61,39,46,30,59,39
"extinctions.81",75,80,74,58,66,53,74,63,54,49,44,58,32,65,40,42,44
"extinctions.82",67,97,70,55,90,69,86,76,45,90,45,59,101,41,30,50,48
"extinctions.83",106,76,80,69,56,61,71,47,61,76,105,55,54,62,54,38,76
"extinctions.84",88,64,54,57,46,79,65,83,64,43,60,36,63,73,65,38,17
"extinctions.85",94,71,97,80,68,54,64,101,78,59,48,59,94,43,54,29,18
"extinctions.86",82,73,63,64,74,49,66,77,40,35,66,50,58,61,44,58,38
"extinctions.87",69,91,71,82,44,70,51,79,65,55,56,66,41,40,60,91,30
"extinctions.88",87,57,77,60,44,47,66,52,57,104,102,65,36,29,29,52,37
"extinctions.89",86,71,56,74,70,80,49,43,57,96,51,41,92,77,55,83,51
"extinctions.90",75,74,83,69,75,94,56,84,48,83,61,44,81,61,37,38,39
"extinctions.91",99,70,77,78,50,104,82,61,50,63,82,43,44,44,48,33,26
"extinctions.92",69,75,86,52,69,55,70,72,43,51,23,47,61,68,30,77,37
"extinctions.93",88,74,67,69,69,85,67,64,64,59,48,63,45,41,26,70,67
"extinctions.94",81,82,62,68,71,63,72,52,57,81,42,74,39,57,68,38,42
"extinctions.95",70,61,78,70,66,64,99,51,43,36,53,60,44,45,26,49,29
"extinctions.96",98,65,69,67,66,36,51,55,73,100,51,71,49,81,87,68,43
"extinctions.97",88,91,76,93,79,59,57,83,44,45,54,47,39,52,32,51,27
"extinctions.98",79,73,55,47,60,68,62,69,93,44,101,66,31,46,34,40,67
"extinctions.99",83,78,69,47,58,63,45,56,70,93,65,39,94,72,56,80,47
