"","con","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","con_9","con_10","con_11","con_12","con_13","con_14","con_15","con_16"
"rep",0,1.34541503077528,1.0881991796042,1.46267069719989,1.40076705903233,1.77977842395033,1.99917467709601,0.949142357236365,1.45469497941515,1.94215946599236,1.54917502751354,1.39716409736164,1.7979611855827,0.466826445120975,1.70984802273443,0.765847543167999,0.788230231769363
"rep_1",0.180866767298952,1.28499426211391,0.738922913517385,1.36411849910416,1.23908627672889,1.50600205713208,1.12948495561849,1.75693607996951,2.15173934500059,1.15771581514056,1.51642451680338,1.1956387243006,1.49651076011572,1.64886535689359,1.34702219525779,1.57842049292,1.82467723892942
"rep_2",0.928760175113634,1.79360064826219,1.72354092167515,1.20707276094354,1.2940094448901,1.71881229733014,1.90592095291683,2.04495129765562,1.59198780213801,1.79709083441699,1.52519471046731,1.11855849296682,1.0662725892796,2.11091490374263,2.20118513143931,1.6135794921736,2.06128420816091
"rep_3",0.973866828239125,1.26182567833893,2.16824378441508,0.933919651225366,1.39867871595382,1.06119757993113,0.955289298688302,1.40299727002391,1.44676633368373,1.73993872019527,2.74476470086917,1.30097708252813,1.5862843201838,1.70334494702622,1.62577774285732,1.64238990913696,1.80890048047181
"rep_4",0.660240820413928,1.07581077238373,1.51134439755278,1.68673320703716,1.77331929716811,1.97083978907876,1.49996499202935,1.87908336084513,1.57806264173584,1.64596826723319,0.80690727698609,1.0661429400932,1.67373160475997,1.57929064387154,1.16207039818091,0.633748809023782,1.8042350460875
"rep_5",1.17752058534912,0.526119864272055,1.40454011325214,1.86834456282317,1.10389025788807,1.54331502520503,1.77334453718489,0.714176651163185,1.92684751359985,0.800870607422839,1.70282915200904,1.39478028389986,1.2796603924217,1.29530029601616,0.943107580883726,1.91418506511011,0.485095439924681
"rep_6",0.80217088536073,0.926258628017335,1.36690454676373,1.78021614663747,1.75745396190906,1.51697799329976,2.00159951731773,1.95328340776987,1.99356835031759,2.17310167444752,1.21632134509022,2.14153405251328,2.2302403548282,1.48693463667697,1.64570521784902,1.32409679354532,0.467086647694364
"rep_7",0.0164036003545284,0.361153781559309,1.20972309562327,1.65021278713514,1.96322617875732,2.09341120859624,1.05486188385294,2.04771250625014,1.86489586909223,1.14561953888646,1.76500593740546,1.70263623404149,0.00122474003142379,1.14366782569884,1.10861222044188,2.17380632818663,1.76758757529696
"rep_8",1.07959104366099,1.08700346901254,1.28310134169123,1.46683013961165,1.67938633758438,1.73419988583978,1.36701036822375,1.85688366680565,1.23548222477774,0,1.95575512805463,1.07138385768825,1.21785551597991,1.64416933423241,1.97703427169333,1.32110999805664,1.68891019528965
"rep_9",2.06462971530313,1.20219028123509,1.71977399881986,1.81405261157413,2.17152776849109,0.820850535225339,1.56977461177936,2.19879423109667,1.11494075490705,1.46947660905752,2.20442536369424,1.01665086298637,1.58170716124567,1.46520887703163,0.643118466237817,1.23584861689669,1.42004489321541
"rep_10",1.65376591196131,1.46510173520674,1.69180283636841,0.77430347943032,1.96128566023611,1.6155902982788,2.36326566143428,1.41696506181401,1.95931081316697,1.72930600579357,1.46368043717242,1.25707108195012,0.97590484230766,1.85584906753802,1.55430244563467,1.13488356869928,1.86881741829892
"rep_11",0,1.62774982111277,1.25521176795935,1.38422034624956,0.710170168856618,1.51441071517546,1.59964372095325,1.60961675777473,1.83760409311349,1.60875941367902,2.03358211498779,0.813597891374815,0.51216158913871,1.74281252828718,1.04859537848185,1.56599859718775,2.08744262004736
"rep_12",1.86003662428092,0.841859609004774,1.33994968207785,0.0274334761573327,2.023084021142,1.98206785695667,2.08321054858473,0.808544403597947,1.69990462278196,1.21389065668008,1.0668375731587,1.84517625722452,1.63104132773936,1.79141509325931,1.33319417492773,1.88144447374244,1.61886571904933
"rep_13",0.972515124033181,0.4327495656897,1.99457947211029,0.999997950140393,1.13550455216319,1.48659375842584,1.62886679735482,1.34529654306879,1.62862242002666,1.40452110028887,1.88074423771314,1.49228829394839,1.9237375764179,1.65655926429104,2.02813741144969,1.75955078643881,1.49257446446362
"rep_14",0.693500251647864,1.8852251845257,1.30882573634934,1.91186558663713,1.87328565518637,1.23978647561923,2.05916942545746,1.38477532530906,1.67152061121187,0.802354171481128,1.40798091751046,2.18953958238136,1.06562624931271,1.09160743324919,1.16885824817738,1.89876951642116,1.41443659244873
"rep_15",1.01851410731318,0.28574354407632,1.53380298880408,1.09043734212884,1.26733779676588,1.87579884313518,0.523733977126588,1.48613294281457,2.07709858508889,1.26404507980639,0.281271247929923,1.5604508267449,0.792530966548877,1.32448981872803,1.91520680752564,1.06429188213729,1.96721797013725
"rep_16",1.01791513308463,0.667882251893878,0.814424048933154,2.0281574526569,2.17450176529625,1.75234649403536,0.738709547464203,1.38877806914249,1.70363933763251,1.3571380698423,1.17689968768547,1.61810113598684,1.82280127337372,1.47784333595189,1.42979474385918,1.53550595089246,0.549311758605786
"rep_17",1.09286554054767,0.633083766391865,1.39240676796238,0.46830828049652,1.57814853831931,1.83343543988305,1.20655659196032,0.260676138464713,1.50515017961585,2.25232521511362,1.55368544414805,1.02513188089248,0.403196931030306,2.30728240587469,0,1.76252584539441,1.51616600120329
"rep_18",1.39336265518161,1.82448052543812,1.59612690811396,1.5309847354876,1.28724243938774,0.903742165282663,1.79424058360782,1.52315508103347,1.63951326544933,1.6989386554015,1.91612167907882,1.08872064589049,1.09934638980514,2.46262023179416,1.37532986469957,1.47513785458703,1.05411360295792
"rep_19",1.39231735519153,1.94026574780558,0.381510398663758,1.86272130619423,2.02860995774919,1.20081208119776,1.85014628537614,2.22077571002086,1.56203451691332,2.21442973827796,0.752785026851718,1.07759136309373,0,1.38113018948272,1.50001165801818,1.61080342817977,2.71904655183199
