"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.h.69",21,13,18,23,13,21,17,4,9,9,8,22,12,20,12,6,17
"extinctions.h.70",18,15,18,13,10,12,12,18,8,11,27,5,9,8,5,4,3
"extinctions.h.71",14,25,13,13,19,18,18,11,10,20,10,12,6,14,5,6,6
"extinctions.h.72",17,9,18,12,10,19,17,15,15,14,9,20,13,12,2,6,8
"extinctions.h.73",15,24,25,14,18,6,13,12,11,17,13,18,11,6,1,5,5
"extinctions.h.74",25,13,16,14,19,19,22,16,25,14,9,7,11,5,15,9,4
"extinctions.h.75",22,19,13,24,16,17,14,13,11,19,16,20,7,23,8,4,5
"extinctions.h.76",26,20,22,24,17,24,14,13,17,10,16,7,10,7,4,5,14
"extinctions.h.77",20,20,15,20,19,23,18,23,19,10,12,17,29,21,19,6,26
"extinctions.h.78",25,24,12,14,15,24,19,15,12,11,10,11,12,5,6,4,2
"extinctions.h.79",23,21,11,14,14,19,14,12,17,13,16,10,11,9,1,7,4
"extinctions.h.80",26,25,21,16,15,16,14,10,18,17,15,12,7,5,7,5,3
"extinctions.h.81",21,25,20,16,23,15,20,11,15,13,8,9,6,8,4,5,2
"extinctions.h.82",17,25,12,21,21,13,18,13,11,27,8,9,25,9,9,7,5
"extinctions.h.83",24,15,25,18,18,13,19,14,10,19,22,8,7,7,8,2,17
"extinctions.h.84",19,15,17,10,11,19,11,16,18,5,13,10,13,19,9,3,1
"extinctions.h.85",23,16,29,22,17,10,9,24,22,13,14,13,26,10,1,7,2
"extinctions.h.86",21,16,24,19,19,13,20,20,12,8,13,13,11,11,0,3,6
"extinctions.h.87",19,21,14,24,13,16,13,25,16,11,11,22,6,9,6,18,2
"extinctions.h.88",21,15,19,17,12,14,20,13,12,25,25,14,8,8,3,5,6
"extinctions.h.89",19,18,13,23,15,23,14,7,11,19,13,8,26,22,13,24,6
"extinctions.h.90",20,15,18,17,18,22,11,17,11,21,10,9,6,8,11,5,1
"extinctions.h.91",23,15,19,22,15,28,22,15,14,12,24,10,13,8,3,4,3
"extinctions.h.92",20,19,26,11,19,16,10,17,10,13,6,12,6,17,4,16,6
"extinctions.h.93",25,17,20,13,20,22,17,18,20,13,13,17,11,9,7,11,1
"extinctions.h.94",18,23,18,19,14,16,14,12,10,19,10,12,8,3,12,8,6
"extinctions.h.95",16,11,16,17,18,16,25,16,8,9,11,14,8,6,3,6,3
"extinctions.h.96",22,14,15,14,12,7,15,12,17,27,8,13,12,16,25,12,4
"extinctions.h.97",20,24,20,25,26,14,15,21,10,12,10,7,7,8,5,6,6
"extinctions.h.98",20,18,11,10,15,18,16,15,19,11,27,13,4,8,4,4,17
"extinctions.h.99",19,22,20,10,13,21,10,13,7,18,12,5,14,19,10,20,8
