"","con","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","con_9","con_10","con_11","con_12","con_13","con_14","con_15","con_16"
"rep",1.81289148023385,1.85426058270862,2.03783737030912,1.85239862708029,1.96269162070061,1.87087040807581,1.97396037375094,1.21839239520054,0.608348972875184,1.90060808195549,1.91862048145569,1.82909065732909,1.71186553594136,1.52730413601758,1.84597563924369,1.51338068953598,1.85666559572439
"rep_1",1.61418366920466,1.8046719238969,1.9784055270452,1.93847134571414,1.88747118405768,1.9681352935322,1.95848387288899,0.0645753561313039,1.79078199850866,1.82891315067879,1.85074189347753,1.64345569531575,1.91499962691628,1.48330415846427,1.72762657502732,1.01861624719539,0.0537164182449324
"rep_2",1.87915677900917,2.06888050044522,1.64282347742611,1.9427479237083,2.00862248097859,2.00022340631744,1.92857291338391,1.70829409178553,0.0706566181189289,1.96303853415823,1.15949482372593,1.69978725791419,2.00758931940296,1.86757405663192,1.86787463649129,1.99790717406011,1.42743397079659
"rep_3",1.79655007678043,1.82964300770871,2.00969297920887,2.04726524415833,2.03550653501709,2.00344875892196,1.7392675031346,1.86465769988202,1.80568707659127,1.88555620463905,1.98692524219146,1.8787507232871,2.03725220781811,0.067612707583894,1.92084403925457,1.50933443695358,2.00770357628647
"rep_4",1.79394066990391,1.86464247154043,1.4274005780391,1.79634012497751,1.76156268176924,1.88256196490767,1.68934469028277,1.8857164787646,2.05166779190818,0.0933724239726061,1.88852724720329,1.93036060669752,1.78653191453445,1.87226795576059,1.62686502202521,1.76356438892493,1.64612462008494
"rep_5",1.73695551372067,1.73084946238128,1.7972752378344,1.92651094729322,1.9824083851733,1.81241203659183,1.70292816062915,1.99816674173068,1.74812542070723,1.69063683330873,1.88456724303852,1.90398044759043,1.43065545641964,1.5396052904436,1.60801113449083,2.01635203142065,2.03487181005779
"rep_6",1.75149389742037,1.51135154866137,1.96096989802279,1.95983024635213,1.708205961816,2.02321910263108,1.91493454074592,1.82803521969005,1.89139838066053,1.85938080559067,1.36304330601438,1.79839118331764,1.91947278260989,2.04339416815311,1.8567804830028,1.66189043438452,1.32092831942637
"rep_7",2.07282434746961,2.05173517350364,1.97142761448829,1.78130892424064,1.85061107536296,1.72904154843207,2.02767029468481,1.77670569141597,1.47859579515065,2.01413246170568,1.72770274747297,1.99541125911035,0.893003686366662,0.0926135022482017,1.5877950952139,1.69183395654005,2.01239147413034
"rep_8",1.72206915115456,1.99834983669083,1.86745330342685,2.03227542945902,1.86786611061287,2.0260881883237,1.29787772265809,1.99198451633638,1.45024706941214,0.168021659264922,1.84639163618768,1.32566281220934,1.65032701941443,1.70736495545689,2.02362332936658,1.84860034322979,1.60559169105508
"rep_9",1.72601852371511,0.983284956539199,1.85705632119536,1.98318219790404,1.95551485325289,1.72836118534495,1.95533389543252,1.918367802463,1.38128487411086,1.91198546696063,1.88848702372166,1.83328258975036,1.70819953809145,1.76785369932003,0.783110346675481,1.85569482958362,0.878019219978084
"rep_10",1.92553219423119,1.87347506609204,0.842724369724301,1.91520734877489,1.90251095569641,1.91457784278659,1.50582507749852,1.71149268146737,1.93501917434414,1.87021658907973,1.64099077015956,1.89800258183264,1.87302546502222,1.88007899348518,1.94117191141903,1.84306301815229,2.02681696524168
"rep_11",1.51840090434944,1.81008744340643,1.65943864568552,1.9907319374734,1.73979802840483,1.92321942694004,1.75674562162828,1.95407611141092,1.75792057669423,1.61197008561385,1.91679709961351,1.72843908441792,0.616235937655207,0.0617798838878749,1.05102801791781,1.96290563719369,1.971194051301
"rep_12",1.90120411636154,1.51710953883457,1.94417179079687,1.41944347766516,1.84211676642059,2.02402086266049,1.98939472502344,0.409550534605294,2.05385885291488,0.616755793062565,1.7521190653824,1.80096286774728,1.98450438363263,1.73328857855808,1.88093722189898,1.99719997377294,1.81200306493151
"rep_13",1.67790860379066,1.22348254843497,1.82043861971272,1.955900346473,0.106713997171771,1.66838496738937,0.130286926311499,1.89593633135128,1.56860408405501,0.653728800840536,1.96328397436772,1.93300127212618,1.81131056966282,2.02972980299032,1.87820892688499,1.92793292503479,1.89554897965562
"rep_14",1.90451568470528,2.00504474969848,1.77207960460123,1.8703947763175,1.89600240006319,1.96508956027053,1.65362405255035,0.838976559065042,1.80627011792203,1.60452936995379,1.71616145123635,1.96694270584404,1.54334044358352,0.724383387458888,1.85149161092311,1.90395217115241,1.88310331958119
"rep_15",1.71941799359566,2.01154477415563,1.83725764552387,2.03332418908813,1.54195106135483,2.03317470225648,1.92386105704513,1.57392828186034,1.85376204272771,1.77629450133879,1.16618028826188,1.32536066757528,1.72090416852717,1.65372078020019,2.0471616264561,1.42126220298248,1.22445068628927
"rep_16",1.94050365948047,1.89422022169455,1.91593482619815,1.89898928607196,1.8014956662798,1.40844746564736,1.96154243236726,1.66796419024269,1.99691770209656,1.54562512733892,1.90590730047096,1.77512044318053,1.56568553961091,1.69300101864835,1.51275488956641,1.95168360285377,1.63992399070421
"rep_17",1.64258530297918,1.8602872732065,1.93925261177046,0.801720061847846,1.84768250110383,1.5895175798989,1.51535313074111,0.762639994847669,1.80834717193787,1.97652853330916,1.55609951361791,1.84983036547292,1.41093876955128,1.89624538690706,0.490225322856185,1.51812998136494,1.79148850304133
"rep_18",1.80955030927949,2.00676782680608,1.83155218973376,0.683238437753887,1.66945637355878,1.77596713377452,0.459831429186866,1.71374205036235,2.02602829626776,1.51217959094931,1.98224276907388,1.71525063235743,0.0837275771086562,2.05702524661732,1.75886119304767,1.54328109446246,1.79609150145327
"rep_19",1.93828565435929,2.0033930554748,1.40120071754958,1.85372527305444,1.71343240166427,1.59406745346122,1.82179384812743,1.86746953041824,1.80413861031286,1.93222304882527,1.23485377200614,2.06744466189245,0.692977488762919,1.37569539505088,1.95670921291306,1.21956572135767,2.05904491568012
"rep_20",1.67499060242756,1.92548459319588,1.95800780994075,1.69630180492678,1.98677552948098,1.57817755829498,1.8963114669506,1.69927534928144,1.44065794037694,1.9914004274295,1.971637054596,1.66725430731385,1.92089739695441,0.446446000292148,1.88671235226864,1.48741413360837,1.85426798703934
"rep_21",1.82204015252095,2.03351829319739,1.8495531029195,1.81024641302222,1.85398360637264,1.69794577908005,2.04605958675387,1.76635530065402,1.31923209975889,1.60612569332964,1.9702773088899,1.92528405408065,1.66013899413852,1.79181090689849,2.04510884841565,1.57338616650044,1.37036883004477
"rep_22",2.03021015558193,1.86906044678393,1.91288408047756,1.87626593320577,1.70878567371035,1.55219532582154,1.95028906995723,1.96186864580429,1.99507612425921,1.86259235597525,1.9725299609815,1.86650229980665,1.87398156395497,1.93195575883471,1.28544617363877,1.97427431844807,0.0588512214754496
"rep_23",1.85043327317526,1.77072456593668,1.90438919775042,1.85075210841198,1.96174247160118,1.93997951262102,1.78553768233027,2.03416954496528,2.05746221734716,1.75610944049801,2.00687725692457,1.41472771008247,1.58529523608437,1.84878308792114,1.95117048543701,1.67912000160169,0.106134949682062
"rep_24",1.53433196501412,1.98512821053049,1.92682563830096,1.66260667373296,1.91969715245411,1.79692928020617,1.81665177521722,1.66091494639427,1.41176139901968,1.72642132072673,1.90833519683878,1.82041493691606,1.49294925223476,1.71201691362734,1.82927982998808,1.69627401029403,1.37353014908719
"rep_25",1.7646124825621,1.2683186221373,1.98918206008109,1.91103858566263,1.95136953176246,2.02055527301685,1.78475073738349,2.02063814846082,1.67665991841292,1.91080450201037,1.0384411075497,1.96281558561197,1.7903007136176,1.9941430175498,2.01091446016195,1.4224876481489,1.96136036384199
"rep_26",2.00166289749785,1.59873119523709,1.91896711313616,2.00244402673678,1.39894390551363,1.76713998022119,1.6248953969239,0.455706589520882,1.96758492828188,1.50084046050934,2.07519344794579,1.93153062716886,1.37969634274303,0.0704967102622175,1.96054745060316,1.75959748263205,2.0590313734665
"rep_27",1.7654518559442,1.65419230849395,1.92674228343734,1.97165901313458,0.573837646269442,0.142017309488189,1.95103429641377,1.07957270302648,1.923921503576,1.75986270531077,1.55456222831864,1.63608536336883,1.94583592399439,1.94667717544096,1.84938264426093,1.78993679822848,1.88066325391579
"rep_28",1.97206064572725,1.92736545169657,1.89281387409945,1.87138390859012,1.3285012243396,1.86741432937407,1.89889093300388,2.0047193149527,1.95675213250087,1.76612266867123,1.75926117031459,1.71030077819764,1.86630584258407,1.4288257832744,1.58992247483685,1.9877469348633,1.91834870177179
"rep_29",1.55460953806463,1.95797742518758,2.00015484097303,1.50528565873954,1.98575985109938,1.97093987672037,1.92292909639804,1.72814950415142,1.86313471258873,1.82944584817321,1.87003372755906,1.9274589458552,1.60610738836512,1.9110295651482,1.83195628746649,1.85997855721008,1.88406814151326
"rep_30",1.25467941570334,1.62173368038996,1.74040503446224,1.87336057854537,1.6046370805236,1.63066829253883,1.9625392694514,0.858409850348721,1.8829157115113,1.34239826212758,0.0959275764916855,1.78799582607882,1.66881148239295,1.60681042329391,2.05700753048907,1.43076054814664,1.8288747469312
"rep_31",1.84237450069622,1.77674917966124,1.87789968163613,2.02558241141157,1.99439248812432,1.80960208419888,0.0980707865556039,1.6891707463356,1.46155002409439,2.03143146334407,2.0222912303381,1.94373220613932,1.89356893140961,1.72239993062029,1.71023926007883,1.81850058766026,1.9858161941627
"rep_32",1.63712988567358,1.9750416539422,1.93464541213748,2.0023706662321,1.99067167279959,2.0722341163688,1.8331799873666,1.96433756163453,1.95221557126532,0.743722494992122,1.98509415057001,1.52373293483099,1.7679733834475,1.87307717728361,1.7909157488133,0.930060575896126,1.88942751577532
"rep_33",1.80487853930523,1.92429513967598,1.94144103361314,1.92652968278545,1.95588203716543,1.91022129233154,1.46454807732991,1.23867274330665,1.89207008856059,1.71571750374586,1.90231614560741,1.91646300185717,2.02933255004083,1.49723995413661,0.974043800714562,1.91866867900149,1.85611197339197
"rep_34",1.91184451829707,1.62074214946429,1.89326358410196,1.83410945418055,1.96427444884987,1.6598251296963,1.7103319703942,1.81463541081344,1.65305891799869,1.70888617024989,1.94659076097501,1.57221160056206,1.64797937292801,1.79141790120593,1.91353780178851,1.63162208841202,1.93258782392754
"rep_35",1.73614559305793,1.93840514940533,1.91035917130932,1.96984145459193,1.92314054618567,1.75515571367471,1.08662186335615,1.54232272946782,1.8424586209193,1.94271869934978,1.84023852647986,1.82707224242311,1.88197935384557,2.01679398184809,1.56824861894301,1.88511683580936,1.75813733018979
"rep_36",1.90851191787509,1.81070285371129,1.80599558692986,1.62492246521609,1.90346162689692,2.05366157073822,0.734332277436512,1.83662229400315,1.26994271497221,1.93837784880161,1.27892047395063,1.88133620810248,1.9406943090267,1.90344420574825,1.85966139706517,1.85418191997753,2.04276877184226
"rep_37",2.00387815394296,1.6697055714238,1.29417867431632,1.89007992172693,1.22519465951524,1.87911428669944,1.87808479044567,1.91635239161975,2.05109635488093,1.96107659895586,0.090924739018427,1.64200111514038,1.75721776650137,1.57848263671307,1.94770280805373,1.79229026489571,1.92033911042379
"rep_38",1.97981076871628,1.83016895900646,2.00391741741589,1.74894453908382,1.95559295538299,0.124855795564991,0.905749806773122,1.6502680359262,0.575635595395191,1.5307506316985,1.80658710731873,1.79815087314337,1.10474751997031,1.78988181551767,1.82218770910264,1.89648239472373,2.05801016818776
"rep_39",1.98530618596469,1.97658541944549,1.85194076937253,1.99662621429718,1.83828135991883,1.85548813613615,1.43755438579291,1.91558230626769,2.00308134506474,1.82703271756994,1.94199375924519,1.87730177309704,1.79057873062511,1.60066410042891,1.97620666723739,1.36410167170058,1.6670594666208
"rep_40",1.6953481215734,1.96966560591842,1.95567858952475,2.02285052276847,1.68207925283066,2.03553722324639,1.94587155472603,1.44856751452998,1.95557518987376,1.24560025582202,1.74563483581129,2.02342809713208,1.6038281074071,2.00327689418993,0.705351618250015,1.85940107306199,1.7251275182169
"rep_41",1.78337545034851,1.73340767356867,2.03504176849022,1.72722567087034,1.84375994850381,1.9182419941175,1.47873150297919,2.01623889259831,1.29679943048019,1.00338180404257,0.738981976356899,1.73665665738456,1.66461025470833,1.92192890799829,0.0611982033057135,1.16397770774638,0.919993292304898
"rep_42",1.86160765008794,1.99842731003887,1.93400859483049,1.97135708728426,2.02951410261105,1.91971860806625,1.66795949091711,1.86884203955091,1.84932095723917,1.7687393601332,1.47440962093651,1.78337083024859,1.58929656052549,1.83132997450068,1.43696866103484,1.9855803282452,1.91645313158668
"rep_43",1.68896955684501,1.66773162710845,2.01365093668932,1.47022852538186,1.50718494751035,1.58434841576309,1.96195430125289,1.95506380960221,1.66336417833392,1.9396796242747,1.65204055570608,1.62024678249681,1.72268175135791,1.72494937980713,1.90096393341636,2.02630143469305,1.73792589257195
"rep_44",1.90571654047046,1.96782770195484,1.95468834432766,1.83978746944067,2.01609374852294,1.93747235096374,0.152400439093112,1.60731010298976,1.65239637300612,1.80018967885729,2.00696549825223,1.81259196968117,1.95071888797638,1.99878134832695,1.43757584099033,1.91416012704279,1.86229170188819
"rep_45",1.95367250227557,1.96357028546484,1.98593459090698,1.9412990980632,1.99377661549004,1.76337217026669,1.8346390583454,1.80838194529801,1.58449760547415,1.65255596239665,1.5853720483391,0.710961223968507,1.70718466035389,1.65553098053978,1.71565203801427,1.75366140428181,2.00674242043303
"rep_46",1.66826046120044,1.93285899709789,1.70887633090441,1.86708308366504,1.91659260688464,1.40668542747386,1.80084487285218,1.96525938038669,1.7076402084979,1.90628031217704,1.94231020949756,1.92711898222718,1.94261039182037,1.89226161420804,1.78025650015643,2.01257383921821,1.98879919437742
"rep_47",1.93611265037871,1.84266436925473,1.83705508289092,1.83197096250085,1.84221434419796,1.83796536676342,0.125782714279518,1.26551444276614,1.62671280833333,1.89516764951763,1.24747330449501,1.99425774272091,1.36884331206397,1.52427718758024,1.95724309319067,0.561479290201038,1.98884820632341
"rep_48",1.96169310377093,1.86721227156633,1.87053644751586,2.00788503648025,1.84630643648122,2.0015958253682,1.45333309220591,1.64887420121101,1.91609755426557,2.03629627856569,2.07040206298472,1.96035737234864,1.31749208146469,2.05755730047494,1.05757022404976,2.01079153243363,1.5820749335206
"rep_49",1.65408841766729,2.06526256974819,1.83316506753455,1.7827904980449,1.56900494304846,1.31755403512885,1.4559256051984,2.0543694085255,1.7841956817374,1.51679937329787,1.3397344700133,1.86033569910403,1.17540311041927,1.68022580242771,1.19927431229145,1.59772449662735,1.80856999072511
"rep_50",1.67615509117425,1.80701340873233,1.91037951496236,1.9295515518771,1.71797201783653,0.113106097904702,1.88622648502964,2.06587466682531,0.784797923156843,1.8158062869135,1.51901069706861,1.7340317569599,1.71161103750581,1.8240323775945,0.213676370050878,1.98129817865356,1.82566836732975
"rep_51",1.62112273033674,1.83178815531784,2.00396393912529,1.97018205988811,1.66551429132844,1.79442188577578,1.96186725763781,1.93768710795187,1.78265113547166,1.80710203862966,1.64960283896482,1.92142090294483,1.45612410057018,1.84512599886695,1.12142794009001,1.9580290217408,2.06080489474286
"rep_52",1.93487355670938,1.78442267201031,1.97430645903038,1.97499601553372,1.78524027488895,1.75678601612159,1.92318396941316,1.39880197990867,1.99390453295123,1.9859739165093,0.731567408443948,1.5040343167851,1.50435143142456,1.99677238870869,2.01575840702909,1.95932707749772,1.69615388162663
"rep_53",2.01221585573045,1.88501546057572,1.91687085161,1.91346215511582,1.85294960487191,1.91685607919054,1.8521553531366,1.97133182735009,1.76465208617908,1.99835269602567,0.0845974824551059,1.57268774438154,1.2335201771655,1.82494731911875,1.4756670198841,1.95239466587944,1.52243863997735
"rep_54",1.71760014326285,2.01338260420191,1.86172407465114,1.9611131322163,2.05695286032127,2.04668192532033,2.02097418374816,1.92902148146763,1.92540664039579,1.73581186734118,1.37071625262757,1.73707525402377,1.99659762493731,2.03356907220282,1.6377757658482,1.78981308118001,1.81820864206244
